index	symbol	source_file	line_no	raw
49	__kernel_rem_pio2	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2152	__kernel_rem_pio2 = .text:0x800D87A0; // type:function size:0x88C scope:global
50	strtol	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2162	strtol = .text:0x800D92B4; // type:function size:0x38 scope:global
51	printf	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2163	printf = .text:0x800D92EC; // type:function size:0xAC scope:global
52	sprintf	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2164	sprintf = .text:0x800D9398; // type:function size:0xD8 scope:global
53	strround	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2166	strround = .text:0x800D9470; // type:function size:0x5C scope:global
54	strrev	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2167	strrev = .text:0x800D94CC; // type:function size:0x4C scope:global
55	memchr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2175	memchr = .text:0x800DAE18; // type:function size:0xC0 scope:global
56	memcmp	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2177	memcmp = .text:0x800DAED8; // type:function size:0x90 scope:global
57	memcpy	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2179	memcpy = .text:0x800DAF68; // type:function size:0xA4 scope:global
58	memset	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2181	memset = .text:0x800DB00C; // type:function size:0x94 scope:global
59	strcat	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2183	strcat = .text:0x800DB0A0; // type:function size:0x90 scope:global
60	strchr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2185	strchr = .text:0x800DB130; // type:function size:0x9C scope:global
61	strcmp	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2187	strcmp = .text:0x800DB1CC; // type:function size:0xA8 scope:global
