# queue_to_batch.py --min-conf LOW (297 renames)


# === HIGH ===
fn_80024520 NuGlassRenderStatic  # mac [gcnemo NuGlassClose..NuGobjInit]
fn_8000D364 NuMtlRenderOT  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000D4DC NuMtlRenderFaceOn  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000D874 NuMtlRenderGlass  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000D95C NuMtlRenderWater  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DBA0 NuMtlRenderGlass  # mac [crashwoc_proto NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DC10 NuMtlAddGlassItem  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DC80 NuMtlClearGlassList  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DCE0 NuMtlRenderUpd  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DD40 NuMtlSetRenderStates  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DDD0 NuMtlAnimate  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000DE60 NuMtlUVAnimation  # mac [crashwoc_retail NuMtlGet3dBuffer..NuMtxTranslate]
fn_8000E250 NuMtxRotateX  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E318 NuMtxRotateXR  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E3C0 NuMtxPreRotateX  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E498 NuMtxRotateY  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E540 NuMtxRotateYR  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E608 NuMtxPreRotateY  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E6B0 NuMtxRotateZ  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E76C NuMtxRotateZR  # mac [gcnemo NuMtxPreScale..NuMtxDet3]
fn_8000E918 NuMtxTruncate24Bit  # mac [mac_lsw2_ppc NuMtxDet3..NuVec4MtxTransformVU0x3]
fn_8000EFE0 NuMtxMulH  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F094 NuMtxTransposeR  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F200 NuMtxTranspose  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F2B8 NuMtxInv  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F488 NuMtxInvR  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F65C NuMtxInvH  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F840 NuMtxFix  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F8A8 NuMtxAlignX  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000F9FC NuMtxAlignY  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000FD18 NuMtxAlignZ  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000FF20 NuMtxLookAtX  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8000FFF8 NuMtxLookAtY  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80010120 NuMtxLookAtZ  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80010C30 NuMtxAddR  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80010EF8 NuMtxSubR  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80011070 NuMtxSkewSymmetric  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80011214 NuMtxGetXAxis  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_8001168C NuMtxGetYAxis  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80011864 NuMtxGetZAxis  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_800119C8 NuMtxGetTranslation  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80011EC4 NuMtxGetRow  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80012420 NuMtxGetCol  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_80012514 NuMtxSetCol  # mac [gcnemo NuMtxMul..NuTexSetTextureStates]
fn_800127D8 NuTexSetTexture  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_8001280C NuTexReadBitmap  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_800128B0 NuTexLoadTextureFromDDSFile  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_80012980 NuTexAnimProgSysInit  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_80012A1C NuTexAnimProgInit  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_80012AB4 NuTexAnimEnvCreate  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_80012B44 NuTexAnimXCall  # mac [crashwoc_retail NuTexSetTextureStates..NuSpecialFind]
fn_80012C44 NuTexAnimXCall  # mac [crashwoc_proto NuTexSetTextureStates..NuSpecialFind]
fn_80013070 NuSpecialGetPos  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800130F4 NuSpecialGetDrawPos  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013124 NuSpecialGetMtx  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013184 NuSpecialGetName  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800131B8 NuSpecialDrawAt  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013200 NuSpecialExists  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013268 NuSpecialSetVisibility  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800132C8 NuSpecialGetVisibility  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013310 NuSpecialGetInstanceix  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013350 NuSpecialGetBounds  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013380 NuSpecialGetRadius  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800133E4 NuSpecialGetOriginRadius  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800133FC NuSpecialGetDrawMtx  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013454 NuSpecialSetDrawMtx  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013550 NuSpecialClipTestExtents  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013580 NuSpecialGetInstAnim  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800135B0 NuMtxSetIdentity  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013618 NuMtxSetTranslation  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800136CC NuMtxSetScale  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013764 NuMtxSetRotationX  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_800137D0 NuMtxSetRotationY  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_8001384C NuMtxSetRotationZ  # mac [mac_lsw1_demo NuSpecialFindMulti..NuSplineFind]
fn_80013890 NuSpecialGetVisibilityFn  # mac [mac_lsw2_ppc NuSpecialFindMulti..NuSplineFind]
fn_8001394C NuSplineFindAllSub  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_80013B28 NuSplineGetRandomPoint  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_80013CDC NuSpecialSetAttr  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_800140EC NuSpecialGetPos  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
