source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw1_demo	ppc	0x17cf0	t	text	func	__Z41DebrisSingleTorusCollisionCheckScaleYFlagiP7nuvec_sffh	_Z41DebrisSingleTorusCollisionCheckScaleYFlagiP7nuvec_sffh		Other
lsw1_demo	ppc	0x180b0	t	text	func	__Z35DebrisTorusCollisionCheckScaleYFlagP7nuvec_sffh	_Z35DebrisTorusCollisionCheckScaleYFlagP7nuvec_sffh		Other
lsw1_demo	ppc	0x18180	t	text	func	__Z31DebrisTorusCollisionCheckScaleYP7nuvec_sff	_Z31DebrisTorusCollisionCheckScaleYP7nuvec_sff		Other
lsw1_demo	ppc	0x181b0	t	text	func	__Z36DebrisSingleCollisionCheckScaleYFlagiP7nuvec_sffh	_Z36DebrisSingleCollisionCheckScaleYFlagiP7nuvec_sffh		Other
lsw1_demo	ppc	0x18400	t	text	func	__Z30DebrisCollisionCheckScaleYFlagP7nuvec_sffh	_Z30DebrisCollisionCheckScaleYFlagP7nuvec_sffh		Other
lsw1_demo	ppc	0x184d0	t	text	func	__Z26DebrisCollisionCheckScaleYP7nuvec_sff	_Z26DebrisCollisionCheckScaleYP7nuvec_sff		Other
lsw1_demo	ppc	0x18500	t	text	func	__Z24DebrisPreCheckCollisionsP7nuvec_sf	_Z24DebrisPreCheckCollisionsP7nuvec_sf		Other
lsw1_demo	ppc	0x186d0	t	text	func	__Z26DebrisGlassParticlesActivev	_Z26DebrisGlassParticlesActivev		Other
lsw1_demo	ppc	0x18700	t	text	func	__Z15ReleaseDebrisRTv	_Z15ReleaseDebrisRTv		Other
lsw1_demo	ppc	0x18740	t	text	func	__Z14CreateDebrisRTv	_Z14CreateDebrisRTv		Other
lsw1_demo	ppc	0x18860	t	text	func	__Z15DebrisGlassInitv	_Z15DebrisGlassInitv		Other
lsw1_demo	ppc	0x18ac0	t	text	func	__Z17DebrisDrawGlassExi	_Z17DebrisDrawGlassExi		Other
lsw1_demo	ppc	0x18b70	t	text	func	__Z15DebrisDrawGlassv	_Z15DebrisDrawGlassv		Other
lsw1_demo	ppc	0x18ba0	t	text	func	__Z13DebrisSetSeedl	_Z13DebrisSetSeedl		Other
lsw1_demo	ppc	0x18bd0	t	text	func	__ZN10CNuConsoleC1Ev	_ZN10CNuConsoleC1Ev		Other
lsw1_demo	ppc	0x18c10	t	text	func	__ZN10CNuConsoleD0Ev	_ZN10CNuConsoleD0Ev		Other
lsw1_demo	ppc	0x18c60	t	text	func	__ZN10CNuConsole7ReleaseEv	_ZN10CNuConsole7ReleaseEv		Other
lsw1_demo	ppc	0x18cb0	t	text	func	__ZN10CNuConsole10InitializeEv	_ZN10CNuConsole10InitializeEv		Other
lsw1_demo	ppc	0x18da0	t	text	func	__ZN10CNuConsole18SetShowDebugOutputEi	_ZN10CNuConsole18SetShowDebugOutputEi		Other
lsw1_demo	ppc	0x18db0	t	text	func	__ZN10CNuConsole13SetSkinParamsEv	_ZN10CNuConsole13SetSkinParamsEv		Other
lsw1_demo	ppc	0x18e40	t	text	func	__ZN10CNuConsole13SendDebugTextEPcz	_ZN10CNuConsole13SendDebugTextEPcz		Other
lsw1_demo	ppc	0x18ef0	t	text	func	__ZN10CNuConsole7ExitNowEPcz	_ZN10CNuConsole7ExitNowEPcz		Other
lsw1_demo	ppc	0x18fb0	t	text	func	__ZN10CNuConsole9SendErrorEPcz	_ZN10CNuConsole9SendErrorEPcz		Other
lsw1_demo	ppc	0x190e0	t	text	func	__ZN10CNuConsole11SendWarningEPcz	_ZN10CNuConsole11SendWarningEPcz		Other
lsw1_demo	ppc	0x191a0	t	text	func	__ZN10CNuConsole11SetVerticesEv	_ZN10CNuConsole11SetVerticesEv		Other
lsw1_demo	ppc	0x19bd0	t	text	func	__Z12NuFileUpCaseP15nufile_device_sPc	_Z12NuFileUpCaseP15nufile_device_sPc		Other
lsw1_demo	ppc	0x19c60	t	text	func	__Z15NuFileReldirFixP15nufile_device_sPc	_Z15NuFileReldirFixP15nufile_device_sPc		Other
lsw1_demo	ppc	0x19d70	t	text	func	__Z23NuFileGetDeviceFromPathPc	_Z23NuFileGetDeviceFromPathPc		Other
lsw1_demo	ppc	0x19ea0	t	text	func	__Z25NuFileGetCurrentDirectoryPc	_Z25NuFileGetCurrentDirectoryPc		Other
lsw1_demo	ppc	0x19ee0	t	text	func	__Z25NuFileSetCurrentDirectoryPc	_Z25NuFileSetCurrentDirectoryPc		Other
lsw1_demo	ppc	0x19ff0	t	text	func	__Z17NuMemFileOpenSizei	_Z17NuMemFileOpenSizei		Other
lsw1_demo	ppc	0x1a030	t	text	func	__Z16NuMcFileOpenSizei	_Z16NuMcFileOpenSizei		Other
lsw1_demo	ppc	0x1a060	t	text	func	__Z14NuFileOpenSizei	_Z14NuFileOpenSizei		Other
lsw1_demo	ppc	0x1a0d0	t	text	func	__Z10NuFileOpenPc12nufilemode_e	_Z10NuFileOpenPc12nufilemode_e		Other
lsw1_demo	ppc	0x1a470	t	text	func	__Z11NuFileClosei	_Z11NuFileClosei		Other
lsw1_demo	ppc	0x1a5a0	t	text	func	__Z12NuFileStatusi	_Z12NuFileStatusi		Other
lsw1_demo	ppc	0x1a5c0	t	text	func	__Z16AquireFileBufferP10fileinfo_s	_Z16AquireFileBufferP10fileinfo_s		Other
lsw1_demo	ppc	0x1a710	t	text	func	__Z13NuMemFileOpenPvi12nufilemode_e	_Z13NuMemFileOpenPvi12nufilemode_e		Other
lsw1_demo	ppc	0x1a7d0	t	text	func	__Z14NuMemFileClosei	_Z14NuMemFileClosei		Other
lsw1_demo	ppc	0x1a820	t	text	func	__Z12NuMemFilePosi	_Z12NuMemFilePosi		Other
lsw1_demo	ppc	0x1a880	t	text	func	__Z13NuMemFileAddri	_Z13NuMemFileAddri		Other
lsw1_demo	ppc	0x1a8c0	t	text	func	__Z13NuMemFileReadiPvi	_Z13NuMemFileReadiPvi		Other
lsw1_demo	ppc	0x1a990	t	text	func	__Z14NuMemFileWriteiPvi	_Z14NuMemFileWriteiPvi		Other
lsw1_demo	ppc	0x1aa40	t	text	func	__Z13NuMemFileSeekiii	_Z13NuMemFileSeekiii		Other
lsw1_demo	ppc	0x1ab30	t	text	func	__Z9NuFilePosi	_Z9NuFilePosi		Other
lsw1_demo	ppc	0x1ac50	t	text	func	__Z10NuFileSeekiii	_Z10NuFileSeekiii		Other
lsw1_demo	ppc	0x1ad10	t	text	func	__Z10NuFileSizePc	_Z10NuFileSizePc		Other
lsw1_demo	ppc	0x1ae80	t	text	func	__Z16NuFileLoadBufferPcPvi	_Z16NuFileLoadBufferPcPvi		Other
lsw1_demo	ppc	0x1b020	t	text	func	__Z18NuFileLoadBufferVPPcP9variptr_uS1_	_Z18NuFileLoadBufferVPPcP9variptr_uS1_		Other
lsw1_demo	ppc	0x1b070	t	text	func	__Z10NuFileReadiPvi	_Z10NuFileReadiPvi		Other
lsw1_demo	ppc	0x1b200	t	text	func	__Z15NuFileReadFloati	_Z15NuFileReadFloati		Other
lsw1_demo	ppc	0x1b250	t	text	func	__Z13NuFileReadInti	_Z13NuFileReadInti		Other
lsw1_demo	ppc	0x1b290	t	text	func	__Z15NuFileReadShorti	_Z15NuFileReadShorti		Other
lsw1_demo	ppc	0x1b2d0	t	text	func	__Z14NuFileReadChari	_Z14NuFileReadChari		Other
lsw1_demo	ppc	0x1b310	t	text	func	__Z15NuFileReadWChari	_Z15NuFileReadWChari		Other
lsw1_demo	ppc	0x1b360	t	text	func	__Z11NuFileWriteiPvi	_Z11NuFileWriteiPvi		Other
lsw1_demo	ppc	0x1b3b0	t	text	func	__Z17NuFileWriteStringiPc	_Z17NuFileWriteStringiPc		Other
lsw1_demo	ppc	0x1b400	t	text	func	__Z18NuFileBeginBlkReadii	_Z18NuFileBeginBlkReadii		Other
lsw1_demo	ppc	0x1b540	t	text	func	__Z16NuFileEndBlkReadi	_Z16NuFileEndBlkReadi		Other
lsw1_demo	ppc	0x1b5f0	t	text	func	__Z21NuFileExtractFilenamePcS_	_Z21NuFileExtractFilenamePcS_		Other
lsw1_demo	ppc	0x1b660	t	text	func	__Z22NuDatFileLoadBufferLSNP10nudathdr_sPcPvi	_Z22NuDatFileLoadBufferLSNP10nudathdr_sPcPvi		Other
lsw1_demo	ppc	0x1b850	t	text	func	__Z19NuDatFileLoadBufferP10nudathdr_sPcPvi	_Z19NuDatFileLoadBufferP10nudathdr_sPcPvi		Other
