# caller_name	caller_addr	callee_addr	callee_name
NuDatOpenEx	0x80005168	0x8000FBBC	fn_8000F9FC
NuDatOpenEx	0x800051A0	0x80005210	NuDatOpenEx
NuDatOpenEx	0x800051B0	0x8000C8C4	fn_8000C8BC
NuDatOpenEx	0x800051E4	0x8000F808	fn_8000F65C
NuDatOpenEx	0x800051F0	0x80005380	NuDatOpenEx
NuDatOpenEx	0x800051FC	0x80016FD0	NuAnimCurve2CalcVal
NuDatOpenEx	0x80005218	0x800052A8	NuDatOpenEx
NuDatOpenEx	0x80005224	0x80016F58	NuAnimCurve2CalcVal
NuDatOpenEx	0x80005248	0x7FFFF4DC	fn_7FFFF4DC
NuDatOpenEx	0x80005260	0x80000C64	fn_80000C64
NuDatOpenEx	0x80005298	0x8001A48C	NuAnimCurveSetLoad
NuDatOpenEx	0x800052A0	0x800052C0	NuDatOpenEx
NuDatOpenEx	0x80005374	0x80547F98	fn_80547F98
NuDatOpenEx	0x80005380	0x80547F74	fn_80547F74
NuDatOpenEx	0x80005390	0x80547F44	fn_80547F44
NuDatOpenEx	0x800053AC	0x800053CC	NuDatOpenEx
NuDatOpenEx	0x800053E4	0x80005434	NuDatOpenEx
NuDatOpenEx	0x800053F0	0x80005410	NuDatOpenEx
NuDatOpenEx	0x80005408	0x80005438	NuDatOpenEx
NuDatOpenEx	0x8000541C	0x8000574C	fn_800056E0
NuDatOpenEx	0x80005430	0x800D8C24	fn_800D8B70
NuDatOpenEx	0x80005434	0x800056E4	fn_800056E0
NuDatOpenEx	0x80005444	0x80007808	fn_800077E8
NuDatOpenEx	0x80005448	0x800056A8	fn_800055EC
NuDatOpenEx	0x80005450	0x80005580	fn_8000556C
NuDatOpenEx	0x80005464	0x80016898	fn_8001678C
NuDatOpenEx	0x80005484	0x80016798	fn_8001678C
NuDatOpenEx	0x800054A0	0x80017224	NuAnimCurve2CalcVal
NuDatOpenEx	0x800054DC	0x805476C0	fn_805476C0
NuDatFileOpenSize	0x80005518	0x8001957C	NuAnimData2FixPtrs
NuDatFileOpenSize	0x80005530	0x805475C4	fn_805475C4
NuDatFileOpenSize	0x80005548	0x8054757C	fn_8054757C
NuDatFileOpenSize	0x8000554C	0x80019E40	fn_80019A54
fn_800055EC	0x80005628	0x8000EB3C	fn_8000EB24
fn_800055EC	0x80005670	0x8000E964	fn_8000E918
fn_800055EC	0x80005674	0x800056A4	fn_800055EC
fn_800055EC	0x8000568C	0x80016220	fn_8001619C
fn_800055EC	0x800056B0	0x800161B4	fn_8001619C
fn_800056E0	0x800056F8	0x800D840C	fn_800D8038
fn_800056E0	0x800056FC	0x8000585C	fn_8000584C
fn_800056E0	0x80005708	0x80007ABC	fn_80007900
fn_800056E0	0x8000570C	0x8000582C	fn_80005764
fn_800056E0	0x80005730	0x800057C0	fn_80005764
fn_80005764	0x80005788	0x800D821C	fn_800D8038
fn_80005764	0x8000578C	0x80005A3C	fn_800059A0
fn_80005764	0x8000579C	0x80006E00	fn_80006DD4
fn_80005764	0x800057A0	0x80005A00	fn_800059A0
fn_80005764	0x800057A8	0x800058D8	fn_80005894
fn_80005764	0x800057BC	0x80015E90	fn_80015E48
fn_80005764	0x800057DC	0x80015D90	fn_80015D60
fn_80005764	0x800057F8	0x8001681C	fn_8001678C
fn_80005764	0x80005834	0x80546CB8	fn_80546CB8
fn_8000584C	0x8000586C	0x800058CC	fn_80005894
fn_8000584C	0x8000587C	0x800192E0	NuAnimData2FixPtrs
fn_80005894	0x800058B4	0x7FFFECD8	fn_7FFFECD8
fn_800058DC	0x800058F0	0x7FFFF8B4	fn_7FFFF8B4
fn_80005908	0x8000591C	0x7FFFF830	fn_7FFFF830
fn_80005934	0x80005950	0x7FFFF794	fn_7FFFF794
fn_8000596C	0x80005988	0x7FFFF6EC	fn_7FFFF6EC
fn_800059A0	0x800059C0	0x800D7B54	fn_800D756C
fn_800059A0	0x800059C4	0x80005B94	NuFileEndBlockRead
fn_800059A0	0x80005A18	0x8054647C	fn_8054647C
fn_800059A0	0x80005A2C	0x80005A5C	fn_80005A4C
fn_800059A0	0x80005A34	0x80018978	NuAnimDataFindVersion
fn_80005A4C	0x80005A68	0x805471AC	fn_805471AC
fn_80005A4C	0x80005A88	0x800D78FC	fn_800D756C
fn_80005A4C	0x80005A8C	0x80005C7C	fn_80005BC0
fn_80005A4C	0x80005AE4	0x80546218	fn_80546218
fn_80005A4C	0x80005AF8	0x80005B38	NuFileEndBlockRead
fn_80005A4C	0x80005B04	0x80018708	NuAnimDataRead
NuFileEndBlockRead	0x80005B40	0x7FFFD534	fn_7FFFD534
NuFileEndBlockRead	0x80005B78	0x8001535C	fn_800151CC
NuFileEndBlockRead	0x80005BA8	0x7FFFD8BC	fn_7FFFD8BC
fn_80005BC0	0x80005C54	0x80005CA4	fn_80005BC0
fn_80005BC0	0x80005C78	0x80014FBC	fn_80014EC0
fn_80005D34	0x80005D48	0x8000686C	fn_80006830
fn_80005D34	0x80005D4C	0x80005DCC	fn_80005D98
fn_80005D98	0x80005DAC	0x80006470	fn_80006398
fn_80005D98	0x80005DB0	0x80006020	fn_80006010
fn_80005D98	0x80005DEC	0x80005F0C	fn_80005E80
fn_80005D98	0x80005E0C	0x80005E9C	fn_80005E80
fn_80005E80	0x80005EA4	0x800184E8	fn_80017EA0
fn_80005E80	0x80005ED4	0x7FFFCF38	fn_7FFFCF38
fn_80005E80	0x80005F14	0x7FFFE648	fn_7FFFE648
fn_80005E80	0x80005F30	0x80018424	fn_80017EA0
fn_80005E80	0x80005F38	0x80005F78	NuDatFileFindTree
fn_80005E80	0x80005F40	0x800183F4	fn_80017EA0
NuDatFileFindTree	0x80005F9C	0x8000601C	fn_80006010
NuDatFileFindTree	0x80005FA8	0x80005FF8	fn_80005FF4
NuDatFileFindTree	0x80005FC8	0x7FFFCC5C	fn_7FFFCC5C
fn_80006038	0x80006048	0x80001CDC	fn_80001CDC
fn_8000606C	0x800060C8	0x7FFFE12C	fn_7FFFE12C
fn_8000606C	0x800060EC	0x8000616C	fn_8000606C
fn_8000606C	0x80006158	0x7FFFDF7C	fn_7FFFDF7C
fn_8000606C	0x8000617C	0x8000620C	fn_800061D8
fn_8000606C	0x800061B8	0x800061E8	fn_800061D8
fn_800061D8	0x80006210	0x80005B84	NuFileEndBlockRead
fn_800061D8	0x80006234	0x80006724	fn_80006398
fn_800061D8	0x80006240	0x80006700	fn_80006398
fn_800061D8	0x80006258	0x800066B8	fn_80006398
fn_800061D8	0x80006264	0x80006694	fn_80006398
fn_800061D8	0x8000626C	0x80005A70	fn_80005A4C
fn_800061D8	0x8000628C	0x8000607C	fn_8000606C
fn_800061D8	0x800062A0	0x80006630	fn_80006398
fn_800061D8	0x800062B8	0x80006008	fn_80005FF4
fn_800061D8	0x800062DC	0x80005920	fn_80005908
fn_800061D8	0x800062F4	0x80006354	fn_800061D8
fn_800061D8	0x80006304	0x800058A8	fn_80005894
fn_800061D8	0x80006328	0x80005EA8	fn_80005E80
fn_800061D8	0x80006338	0x8000580C	fn_80005764
fn_800061D8	0x80006350	0x800062E0	fn_800061D8
fn_800061D8	0x80006360	0x80005794	fn_80005764
fn_800061D8	0x8000636C	0x800063CC	fn_80006398
fn_800061D8	0x80006380	0x80005DB0	fn_80005D98
fn_80006398	0x800063BC	0x80005C30	fn_80005BC0
fn_80006398	0x800063C0	0x80007530	fn_80007468
fn_80006398	0x80006428	0x7FFFD70C	fn_7FFFD70C
fn_80006398	0x8000644C	0x800064CC	fn_80006398
fn_80006398	0x80006490	0x80007270	NuMemFree
fn_80006398	0x8000649C	0x8000724C	NuMemAlloc
fn_80006398	0x800064B4	0x80007204	NuMemAlloc
fn_80006398	0x800064C0	0x800071E0	NuMemAlloc
fn_80006398	0x8000650C	0x7FFFD460	fn_7FFFD460
fn_80006398	0x80006554	0x80005F74	NuDatFileFindTree
fn_80006398	0x8000656C	0x80005F3C	fn_80005E80
fn_80006398	0x800065D4	0x7FFFD208	fn_7FFFD208
fn_80006398	0x800065F8	0x80006678	fn_80006398
fn_80006398	0x80006630	0x80006840	fn_80006830
fn_80006398	0x80006684	0x7FFFCFF8	fn_7FFFCFF8
fn_80006398	0x800066D0	0x80005B00	fn_80005A4C
fn_80006398	0x8000671C	0x7FFFCE30	fn_7FFFCE30
fn_80006398	0x80006740	0x800067C0	fn_80006398
fn_80006398	0x80006778	0x800064E8	fn_80006398
fn_80006398	0x800067CC	0x7FFFCC20	fn_7FFFCC20
fn_80006398	0x80006804	0x80006864	fn_80006830
fn_80006398	0x80006818	0x80005738	fn_800056E0
fn_80006830	0x8000687C	0x8000692C	fn_800068F4
fn_80006830	0x800068B4	0x800068F4	fn_800068F4
fn_800068F4	0x80006914	0x80006588	fn_80006398
fn_800068F4	0x80006918	0x80006C48	fn_80006B14
fn_800068F4	0x8000696C	0x80006A0C	fn_800069F4
fn_800068F4	0x80006990	0x80006AE0	fn_800069F4
fn_800068F4	0x800069A4	0x800069E4	fn_800068F4
fn_800069F4	0x80006A1C	0x8000C500	fn_8000C1B8
fn_800069F4	0x80006A20	0x80006A60	fn_800069F4
fn_800069F4	0x80006A2C	0x8000AF30	fn_8000AEC4
fn_800069F4	0x80006A48	0x80006D18	fn_80006C78
fn_800069F4	0x80006A70	0x80006CB0	fn_80006C78
fn_800069F4	0x80006AB8	0x8054377C	fn_8054377C
fn_80006B14	0x80006B4C	0x80543370	fn_80543370
fn_80006B14	0x80006B68	0x800122EC	fn_80011EC4
fn_80006B14	0x80006BA4	0x80012238	fn_80011EC4
fn_80006B14	0x80006BEC	0x80543190	fn_80543190
fn_80006B14	0x80006C0C	0x80543130	fn_80543130
fn_80006B14	0x80006C18	0x80006D48	fn_80006C78
fn_80006B14	0x80006C40	0x80012064	fn_80011EC4
fn_80006C78	0x80006C8C	0x800149A0	fn_800148F4
fn_80006C78	0x80006CA0	0x7FFF91E4	fn_7FFF91E4
fn_80006C78	0x80006CAC	0x80006650	fn_80006398
fn_80006C78	0x80006CD0	0x80001F44	fn_80001F44
fn_80006C78	0x80006CF8	0x80006ED8	fn_80006ED0
fn_80006C78	0x80006D14	0x80006E84	fn_80006E1C
fn_80006C78	0x80006D2C	0x80001D50	fn_80001D50
fn_80006C78	0x80006D40	0x80006DF0	fn_80006DD4
fn_80006C78	0x80006D58	0x80001CCC	fn_80001CCC
fn_80006C78	0x80006D88	0x7FFFA31C	fn_7FFFA31C
fn_80006C78	0x80006D90	0x800012D4	fn_800012D4
fn_80006C78	0x80006DA8	0x8000A4BC	fn_8000A40C
fn_80006C78	0x80006DB0	0x80006DF0	fn_80006DD4
fn_80006C78	0x80006DB8	0x8000146C	fn_8000146C
fn_80006E1C	0x80006E30	0x80005944	fn_80005934
fn_80006E1C	0x80006E48	0x8000B87C	fn_8000B5F4
fn_80006E1C	0x80006E4C	0x80006E8C	fn_80006E1C
fn_80006E1C	0x80006E58	0x8000A2AC	fn_8000A268
fn_80006E1C	0x80006E78	0x8000B1FC	fn_8000B144
fn_80006E1C	0x80006E7C	0x80006F7C	NuMemAlloc
fn_80006E1C	0x80006EA4	0x8000B178	fn_8000B144
fn_80006E1C	0x80006EA8	0x80006EF8	fn_80006ED0
fn_80006E1C	0x80006EB0	0x8000B3D4	fn_8000B310
fn_80006E1C	0x80006EB4	0x80006ED4	fn_80006ED0
fn_80006ED0	0x80006EE4	0x80005728	fn_800056E0
fn_80006ED0	0x80006EFC	0x8000B660	fn_8000B5F4
fn_80006ED0	0x80006F00	0x80006F40	fn_80006ED0
fn_80006ED0	0x80006F0C	0x8000A090	fn_80009E94
fn_80006ED0	0x80006F24	0x80006F54	fn_80006F44
fn_80006ED0	0x80006F2C	0x80009220	fn_800091A8
fn_80006F44	0x80006F60	0x80000F74	fn_80000F74
NuMemAlloc	0x80006FA0	0x80011644	fn_80011214
NuMemAlloc	0x8000700C	0x8000793C	fn_80007900
NuMemAlloc	0x8000701C	0x800114D0	fn_80011214
NuMemAlloc	0x80007048	0x80007888	fn_800077E8
NuMemAlloc	0x80007080	0x800077E0	fn_800076E4
NuMemAlloc	0x80007094	0x80542F28	fn_80542F28
NuMemAlloc	0x800070A8	0x8000E75C	fn_8000E6B0
NuMemAlloc	0x800070AC	0x8000710C	NuMemAlloc
NuMemAlloc	0x800070B4	0x80542EC8	fn_80542EC8
