confidence	crash_name	gc_fn	gc_addr	crash_size	crash_addr	gc_size	notes
LOW	__AXSPBInit	fn_80174014	0x80174014	0x002c	0x800ed434	0x002c	norm-body-match; module=gamecode
LOW	__AXDepopVoice	fn_80174044	0x80174044	0x0094	0x800ed460	0x0094	norm-body-match; module=gamecode
LOW	AXSetVoiceState	fn_80174DC0	0x80174dc0	0x005c	0x800ee068	0x005c	norm-body-match; module=gamecode
LOW	__AXGetCurrentProfile	fn_801753CC	0x801753cc	0x0048	0x800ee0c4	0x0048	norm-body-match; module=gamecode
LOW	GXPixModeSync	fn_8017FAD8	0x8017fad8	0x0024	0x800f8654	0x0024	norm-body-match; module=sdk
LOW	__GXSetGenMode	fn_80180120	0x80180120	0x0024	0x800f8cd8	0x0024	norm-body-match; module=sdk
LOW	GXClearBoundingBox	fn_80180BB4	0x80180bb4	0x0038	0x800f9ab0	0x0038	norm-body-match; module=sdk
LOW	GXSetClipMode	fn_80183880	0x80183880	0x0028	0x800fcacc	0x0028	norm-body-match; module=sdk
LOW	DBGHandler	fn_8018A568	0x8018a568	0x0040	0x800fdbb8	0x0040	norm-body-match; module=gamecode
LOW	MWCallback	fn_8018A5A8	0x8018a5a8	0x003c	0x800fdb7c	0x003c	norm-body-match; module=gamecode
LOW	DBGReadStatus	fn_8018A5E4	0x8018a5e4	0x00ac	0x800fdad0	0x00ac	norm-body-match; module=gamecode
LOW	DBGWrite	fn_8018A690	0x8018a690	0x00dc	0x800fd9f4	0x00dc	norm-body-match; module=gamecode
LOW	DBGRead	fn_8018A76C	0x8018a76c	0x00dc	0x800fd918	0x00dc	norm-body-match; module=gamecode
LOW	DBGReadMailbox	fn_8018A848	0x8018a848	0x00ac	0x800fd86c	0x00ac	norm-body-match; module=gamecode
LOW	vprintf	fn_8018BD4C	0x8018bd4c	0x0034	0x801047a4	0x0034	norm-body-match; module=gamecode
