# Mac String Xrefs
# Total: 1054
# ref_addr | binary | str_addr | pattern | func_name | content

0x0006dfc8 | LSW2 PPC     | 0x00272408 | abs_lis+op34    | __Z16Action_ForcePushP7AISYS_sP17AISCRIP | "e.dds"
0x0006e6dc | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | __Z25Action_DontSetStoppedFlagP7AISYS_sP | "x_gen_embm_tc.fopen_doors"
0x0006e6e0 | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | __Z25Action_DontSetStoppedFlagP7AISYS_sP | "x_gen_embm_tc.fopen_doors"
0x0006e768 | LSW2 PPC     | 0x0026a0fe | abs_lis+op35    | __Z22Action_SetInvulnerableP7AISYS_sP17A | "arget_radius="
0x0006fb70 | LSW2 PPC     | 0x0026efb8 | abs_lis+op14    | __Z22Action_CreateCreaturesP7AISYS_sP17A | "ion"
0x000703a8 | LSW2 PPC     | 0x0026f044 | abs_lis+op14    | __Z28Action_CreateSplineCreaturesP7AISYS | " Options..."
0x000703ac | LSW2 PPC     | 0x0026f044 | abs_lis+op14    | __Z28Action_CreateSplineCreaturesP7AISYS | " Options..."
0x00070ab4 | LSW2 PPC     | 0x0026f0c4 | abs_lis+op14    | __Z20Action_AddPartDebrisP7AISYS_sP17AIS | "ep="
0x00070b5c | LSW2 PPC     | 0x0026f0d4 | abs_lis+op14    | __Z20Action_AddPartDebrisP7AISYS_sP17AIS | ".1f"
0x00070cf4 | LSW2 PPC     | 0x0026f118 | abs_lis+op14    | __Z16Action_AddDebrisP7AISYS_sP17AISCRIP | "Shadow"
0x00070d9c | LSW2 PPC     | 0x0026f128 | abs_lis+op14    | __Z16Action_AddDebrisP7AISYS_sP17AISCRIP | "ook_rot_mulSpecular"
0x00070f34 | LSW2 PPC     | 0x0026f16c | abs_lis+op14    | __Z14Action_PlaySfxP7AISYS_sP17AISCRIPTP | "peedercam_zoom_in="
0x0007103c | LSW2 PPC     | 0x00272408 | abs_lis+op34    | __Z14Action_PlaySfxP7AISYS_sP17AISCRIPTP | "e.dds"
0x000720a0 | LSW2 PPC     | 0x0026d7f8 | abs_lis+op14    | __Z22Action_SetLastAttackerP7AISYS_sP17A | "ico"
0x000722e8 | LSW2 PPC     | 0x0026e69c | abs_lis+op14    | __Z15Action_TakeOverP7AISYS_sP17AISCRIPT | "it_tc.fmaxheadturn="
