# table	index	string	func_addr	cur_name	proposed_name	confidence
Level_Actions	117	CameraShake	0x8013A7E8	fn_8013A7E8	Action_CameraShake	HIGH
Level_Actions	118	ResetGameCamera	0x8013A900	fn_8013A900	Action_ResetGameCamera	HIGH
Level_Actions	119	PlayCutScene	0x8013A934	fn_8013A934	Action_PlayCutScene	HIGH
Level_Actions	120	SetLevelPath	0x8013A9BC	fn_8013A9BC	Action_SetLevelPath	HIGH
Level_Actions	121	ImmuneToKillTerrain	0x80138020	fn_80138020	Action_ImmuneToKillTerrain	HIGH
Level_Actions	122	Respawnable	0x801380BC	fn_801380BC	Action_Respawnable	HIGH
Level_Actions	123	SetPathCnxFlag	0x80134A14	fn_80134A14	Action_SetPathCnxFlag	HIGH
Level_Actions	124	SetHint	0x8013AAB0	fn_8013AAB0	Action_SetHint	HIGH
Level_Actions	125	SetHintComplete	0x8013AB40	fn_8013AB40	Action_SetHintComplete	HIGH
Level_Actions	126	CancelHint	0x8013ABCC	fn_8013ABCC	Action_CancelHint	HIGH
Level_Actions	127	CycleCharacter	0x801336A0	fn_801336A0	Action_CycleCharacter	HIGH
Level_Actions	128	CnxController	0x80133AD8	fn_80133AD8	Action_CnxController	HIGH
Level_Actions	129	ObjectController	0x80133EB0	fn_80133EB0	Action_ObjectController	HIGH
Level_Actions	130	PlaySfx	0x80134C48	fn_80134C48	Action_PlaySfx	HIGH
Level_Actions	131	CameraCut	0x80134EA8	fn_80134EA8	Action_CameraCut	HIGH
Level_Actions	132	SetCircleDirection	0x801393E0	fn_801393E0	Action_SetCircleDirection	HIGH
Level_Actions	133	DontRaycastLOS	0x8013C030	fn_8013C030	Action_DontRaycastLOS	HIGH
Level_Actions	134	SetForceBack	0x8013C0C4	fn_8013C0C4	Action_SetForceBack	HIGH
Level_Actions	135	SetForceLightningTarget	0x8013C1F4	fn_8013C1F4	Action_SetForceLightningTarget	HIGH
Level_Actions	136	FaceCamera	0x8013C2E8	fn_8013C2E8	Action_FaceCamera	HIGH
Level_Actions	137	FaceCharacter	0x8013C414	fn_8013C414	Action_FaceCharacter	HIGH
Level_Actions	138	FollowPlayer	0x8013C4F4	fn_8013C4F4	Action_FollowPlayer	HIGH
Level_Actions	139	SetFormationCommander	0x80139B98	fn_80139B98	Action_SetFormationCommander	HIGH
Level_Actions	140	RemoveThrownForceObjects	0x80139C90	fn_80139C90	Action_RemoveThrownForceObjects	HIGH
Level_Actions	144	BoulderSection	0x800C5D68	fn_800C5D68	Action_BoulderSection	HIGH
Level_Conditions	0	Active	0x80135728	fn_80135728	Condition_Active	HIGH
Level_Conditions	1	GotBlaster	0x80135754	fn_80135754	Condition_GotBlaster	HIGH
Level_Conditions	2	GlynTest	0x80135798	fn_80135798	Condition_GlynTest	HIGH
Level_Conditions	3	IsAlive	0x8013642C	fn_8013642C	Condition_IsAlive	HIGH
Level_Conditions	4	IsOnScreen	0x801365AC	fn_801365AC	Condition_IsOnScreen	HIGH
Level_Conditions	5	OnObject	0x801368F4	fn_801368F4	Condition_OnObject	HIGH
Level_Conditions	6	OnSameObjectAsPlayer	0x80136974	fn_80136974	Condition_OnSameObjectAsPlayer	HIGH
Level_Conditions	7	PlayerOnObject	0x80136710	fn_80136710	Condition_PlayerOnObject	HIGH
Level_Conditions	8	EitherPlayerOnObject	0x801367D8	fn_801367D8	Condition_EitherPlayerOnObject	HIGH
Level_Conditions	9	OnGround	0x80136634	fn_80136634	Condition_OnGround	HIGH
Level_Conditions	10	BeenAlerted	0x80136678	fn_80136678	Condition_BeenAlerted	HIGH
Level_Conditions	11	PlayerOnGround	0x80136604	fn_80136604	Condition_PlayerOnGround	HIGH
Level_Conditions	12	LocatedCollectable	0x8012D56C	fn_8012D56C	Condition_LocatedCollectable	HIGH
Level_Conditions	13	CollectedCount	0x801369E0	fn_801369E0	Condition_CollectedCount	HIGH
Level_Conditions	14	SpawnCount	0x80136A40	fn_80136A40	Condition_SpawnCount	HIGH
Level_Conditions	15	BehindCamera	0x80136A84	fn_80136A84	Condition_BehindCamera	HIGH
Level_Conditions	16	LocatorOnScreen	0x80136B4C	fn_80136B4C	Condition_LocatorOnScreen	HIGH
Level_Conditions	17	Blocking	0x80136BA8	fn_80136BA8	Condition_Blocking	HIGH
Level_Conditions	18	BeenHit	0x80136BFC	fn_80136BFC	Condition_BeenHit	HIGH
Level_Conditions	19	HoverPhase	0x80136C54	fn_80136C54	Condition_HoverPhase	HIGH
Level_Conditions	20	HitPoints	0x80136CEC	fn_80136CEC	Condition_HitPoints	HIGH
Level_Conditions	21	StuckTime	0x80136D58	fn_80136D58	Condition_StuckTime	HIGH
Level_Conditions	22	DoorLocked	0x801357CC	fn_801357CC	Condition_DoorLocked	HIGH
Level_Conditions	23	DoorOpened	0x8013581C	fn_8013581C	Condition_DoorOpened	HIGH
Level_Conditions	24	DoorOpenedByPlayer	0x80135848	fn_80135848	Condition_DoorOpenedByPlayer	HIGH
Level_Conditions	25	DoorOpen	0x801358A8	fn_801358A8	Condition_DoorOpen	HIGH
Level_Conditions	26	ObstacleFinished	0x801358F8	fn_801358F8	Condition_ObstacleFinished	HIGH
Level_Conditions	27	ObstacleChainPhase	0x8013596C	fn_8013596C	Condition_ObstacleChainPhase	HIGH
Level_Conditions	28	AnimationFinished	0x80137428	fn_80137428	Condition_AnimationFinished	HIGH
Level_Conditions	29	GadgetActive	0x80135A08	fn_80135A08	Condition_GadgetActive	HIGH
Level_Conditions	30	TubeActive	0x80135A64	fn_80135A64	Condition_TubeActive	HIGH
Level_Conditions	31	PlayerUsingForce	0x80136240	fn_80136240	Condition_PlayerUsingForce	HIGH
Level_Conditions	32	PlayerDeflectingPart	0x801362E8	fn_801362E8	Condition_PlayerDeflectingPart	HIGH
Level_Conditions	33	EitherPlayerUsingForce	0x8012D420	fn_8012D420	Condition_EitherPlayerUsingForce	HIGH
Level_Conditions	34	ForceBeingUsed	0x8013636C	fn_8013636C	Condition_ForceBeingUsed	HIGH
Level_Conditions	35	UsingForce	0x80135AB8	fn_80135AB8	Condition_UsingForce	HIGH
Level_Conditions	36	UsingForceLightning	0x80135B70	fn_80135B70	Condition_UsingForceLightning	HIGH
Level_Conditions	37	TurretAlive	0x80135BD8	fn_80135BD8	Condition_TurretAlive	HIGH
Level_Conditions	38	ForceComplete	0x801363C0	fn_801363C0	Condition_ForceComplete	HIGH
Level_Conditions	39	IAm	0x80135C44	fn_80135C44	Condition_IAm	HIGH
Level_Conditions	40	IAmA	0x80135E8C	fn_80135E8C	Condition_IAmA	HIGH
