# LSW1 Demo Data/BSS Symbols
# name	address	section
_DIRECTIONALID$16685	001efcfc	data
_DIVPANEL3DX	001efe70	data
_DIVPANEL3DY	001efe74	data
_DOGFIGHTASHOOTXSCALE	001e9068	data
_DOGFIGHTASHOOTYSCALE	001e906c	data
_DOGFIGHTASPACESHIPBOLTSPEED	001e9060	data
_DOGFIGHTASPACESHIPBOLTTIME	001e9064	data
_DOGFIGHTHEARTSCALE	001f04ec	data
_DRAWBGLOAD	00e481a8	bss
_DRAWLOADTEXT	001f0718	data
_DRAWMOVEBOX	033f4738	bss
_DRAWSTARFIGHTERSPLINE	033f471c	bss
_DROPINALPHA	001efe98	data
_DROPINTEXTWIDTH	001eff18	data
_DROPINX	001efe94	data
_DROP_BACK_IN_TIME	001f3c94	data
_DVD	033b26cc	bss
_DXT1$8989	001f6814	data
_DXT1$9628	001f6828	data
_DXT2$8990	001f6818	data
_DXT2$9629	001f682c	data
_DXT3$8991	001f681c	data
_DXT3$9630	001f6830	data
_DXT4$8992	001f6820	data
_DXT4$9631	001f6834	data
_DXT5$8993	001f6824	data
_DXT5$9632	001f6838	data
_DarthMaulAnim	001d5ec8	data
_DarthSidiousAnim	001d5048	data
_DebMat	00e28960	bss
_Debris_Init	00e28988	bss
_Default_ADDPART	001efdc0	data
_DexterAnim	001e1fc8	data
_DidWeHaveGlassDebrisThisFrame	035ef460	bss
_DisguisedCloneAnim	001cfd88	data
_DmaDebTypes	00e28828	bss
_DogDebKey	001f07f0	data
_DogFightSpeedList	001f0810	data
_DogfightACutList	001e9aac	data
_DookuCCutList	001e9a9c	data
_DookuC_ForceThrowGravity	001e8f54	data
_DookuC_ForceThrowSpeed	001e8f58	data
_DookuIntroCutList	001e9a98	data
_DookuOutroCutList	001e9aa0	data
_DoorCutCamBlendTime	033e9704	bss
_DoorCutCamPos0	033e971c	bss
_DoorCutCamPos1	033e9710	bss
_DoorCutCamWait	033e970c	bss
_DoorCutCamWaitTime	033e9708	bss
_DoorCutLookAtPlayers	033e9700	bss
_DoorCutSpl	033e972c	bss
_DoorExitCameraSplineName	033e0620	bss
_DoorExitName	033e0640	bss
_DoorNextSock	001efca4	data
_DrawBuildUpTime	033eee40	bss
_DrawCoinTotalTime	033eee28	bss
_DrawMiniKitTime	033eee48	bss
_DroidekaAnim	001d1408	data
_DwarfSpiderDroidAnim	001e1a08	data
_DynamicVertexIndex	00ee4898	bss
_DynamicVertexList	00ee48a0	bss
_EDPP_MAX_TYPES	00e2881c	bss
_EData	001efca8	data
_EPISODEIIIUNLOCKEDY	001f5ea4	data
_EPISODEIIUNLOCKEDY	001f5ea0	data
_EPISODEUNLOCKEDSIZE	001f5ea8	data
_EShadNorm	03425adc	bss
_EShadPoly	03425bb8	bss
_EShadRoofNorm	03425abc	bss
_EShadRoofPoly	03425bb0	bss
_EShadRoofY	03425ab8	bss
_EShadY	03425ad8	bss
_EditMode	033f473c	bss
_Ep2Ending1CutList	001e9aa4	data
_Ep2Ending2CutList	001e9aa8	data
_Ep3Ending1CutList	001e9b54	data
_Ep3Ending2CutList	001e9b58	data
_Ep3Ending3CutList	001e9b5c	data
_Episode1EndingACutList	001e960c	data
_ExitMenu	03427b28	bss
_Explosion	033b26d8	bss
_ExtraCurPos	03427c30	bss
_ExtraItems	03427e60	bss
_ExtraShelfIds	03427c84	bss
_FADELOOPICONSIZE	001cd5a0	data
_FADELOOPICONX	001cd598	data
_FADELOOPICONY	001cd59c	data
_FLOATSPEED	001e8f40	data
_FMVList	001f5dc0	data
_FORCEBLENDTIME	001e8fec	data
_FORCEDBACKSPEED	001e8f68	data
_FORCEDEFLECTSEEK	001e8ff4	data
_FORCEDEFLECTSPEED	001e8ff0	data
_FORCEFROZENHEIGHT	001e8f9c	data
_FORCEGLOWHOLD	001e9034	data
_FORCEGLOWSPRITESCALE	001e9030	data
_FORCEGLOWTIME	001e9038	data
_FORCELIGHTNINGPPS	001e9018	data
_FORCELIGHTNINGREADYTIME	001e902c	data
_FORCEPUSHSPEED	001e8f5c	data
_FPSDISPLAY	00e481b0	bss
_FRAMETIME	00e49afc	bss
_FREEPLAYSELECTTIME	001f5d88	data
_FREEPLAY_SCRIPT_ONLY	00e481c0	bss
_FSP_Extension	001f071c	data
_FactoryBConveyor	033e8a90	bss
_FactoryBConveyorSpeed	001e9728	data
_FactoryBConveyorStopFrame	001e9724	data
_FactoryBConveyorStopFrameStoppedAt	033e8a8c	bss
_FactoryBConveyorStoppedMsg	033e8a88	bss
_FactoryBCutList	001e972c	data
_FactoryGCutList	001e9748	data
_FactoryG_ObiWan	033e8a18	bss
_FactoryIntro1CutList	001e9718	data
_FactoryIntro2CutList	001e971c	data
_FactoryIntro3CutList	001e9720	data
_Fade	001cd608	data
_FadeHack	00e49a94	bss
_FadeLoop_Icons	00e49ac0	bss
_FadeMode	001cd60c	data
_FadeMtl	00e49aa8	bss
_FadeMtl2	00e49aa4	bss
_FadeSpeed	00e49a98	bss
_FalumpasetAnim	001df5c8	data
_FastTranslateTbl	00e18c60	data
_FindAlternativeSpecialObjectFn	033f1588	bss
_FindTeleport_Direction	033bc980	bss
_Font	0342d7d0	bss
_ForceBackObj	033bc9a8	bss
_ForceBackRadius	033bc9a4	bss
_ForceBackRadius2	033bc9a0	bss
_ForceCutInstEnd	03426270	bss
_ForceFreezeHint$15163	033bc8a8	bss
_ForceOpponent_Range2	033bc8f4	bss
_ForcePlayRecord	00e49ab4	bss
_ForceThrowGravity	001e8f44	data
_ForceThrowSpeed	001e8f48	data
_FreePlay	033e9148	bss
_FreePlayBonusCount	033e9138	bss
_FreePlayHint	033eee10	bss
_FreePlayModelCount	033e9140	bss
_FreePlayModelList	033e90f4	bss
_FreePlayResidentCount	033e913c	bss
_GAMEDEMO	001cd63c	data
_GCDATA_DEFAULT	001e5888	data
_GCDATA_UNIQUE	03590fc8	bss
_GCData	033b5680	bss
_GEONOSIANBOLTRADIUS	001cf594	data
_GEONOSIANHOVERHEIGHT	001e90d0	data
_GUID_SysKeyboard	001cbfe0	sdata/sbss
_GUID_SysMouse	001cbfd0	sdata/sbss
_GUNSHIPAFIREDEG	001e904c	data
_GUNSHIPAFIREDEG0	001e9050	data
_GUNSHIPAFIREDEG1	001e9054	data
_GUNSHIPAHACK	001e98ac	data
_GUNSHIPAHALFWAYTIME	001efd28	data
_GUNSHIPAHOVERHEIGHT	001e90c0	data
_GUNSHIPBADGUYBOLTSPEED	001e9044	data
_GUNSHIPBADGUYBOLTTIME	001e9048	data
_GUNSHIPBFIREDEG	001e9058	data
_GUNSHIPBFIREDEG0	001e905c	data
_GUNSHIPBFIREDEG1	033bc8a0	bss
_GUNSHIPBHOVERDY	001e90c8	data
_GUNSHIPBHOVERHEIGHT	001e90c4	data
_GUNSHIPBOLTSPEED	001e903c	data
_GUNSHIPBOLTTIME	001e9040	data
